app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
微博,bargain_hunter,1,2026-06-07T05:32:24,visit_homepage,,,请回到 微博 首页，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,2,2026-06-07T05:33:02,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_002.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,3,2026-06-07T05:34:45,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_003.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,4,2026-06-07T05:35:37,search_keyword,daily_necessities,洗衣液,请在搜索框输入“洗衣液”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_004.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,5,2026-06-07T05:35:52,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_005.png,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
微博,bargain_hunter,6,2026-06-07T05:36:24,search_keyword,shopping,满减券,请在搜索框输入“满减券”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_006.png,,2.0,1.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,7,2026-06-07T05:36:49,visit_homepage,,,请回到 微博 首页，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,8,2026-06-07T05:37:32,search_keyword,apparel_beauty,面膜,请在搜索框输入“面膜”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_008.png,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,9,2026-06-07T05:38:16,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_009.png,,2.0,1.0,1.0,1.0,0.0,1.0,0.0
微博,bargain_hunter,10,2026-06-07T05:38:38,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_010.png,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
微博,bargain_hunter,11,2026-06-07T05:39:01,visit_homepage,,,请回到 微博 首页，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_011.png,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
微博,bargain_hunter,12,2026-06-07T05:39:56,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_012.png,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,13,2026-06-07T05:40:28,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_013.png,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,14,2026-06-07T05:41:38,visit_homepage,,,请回到 微博 首页，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,15,2026-06-07T05:42:55,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_015.png,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
微博,bargain_hunter,16,2026-06-07T05:43:49,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_016.png,,2.0,1.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,17,2026-06-07T05:44:23,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_017.png,,2.0,1.0,0.0,0.0,0.0,1.0,1.0
微博,bargain_hunter,18,2026-06-07T05:45:01,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_018.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,19,2026-06-07T05:45:35,search_keyword,daily_necessities,垃圾袋,请在搜索框输入“垃圾袋”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_019.png,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,20,2026-06-07T05:46:03,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_020.png,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
微博,bargain_hunter,21,2026-06-07T05:46:41,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_021.png,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
微博,bargain_hunter,22,2026-06-07T05:47:30,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/微博/bargain_hunter/20260607_053115/screenshots/step_022.png,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
