app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
抖音,high_payment_shopping,1,2026-06-07T17:25:50,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_001.png,,2.0,0.0,0.0,0.0,0.0,0.0,0.0
抖音,high_payment_shopping,2,2026-06-07T17:26:08,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_002.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
抖音,high_payment_shopping,3,2026-06-07T17:26:53,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_003.png,,1.0,1.0,0.0,0.0,1.0,1.0,0.0
抖音,high_payment_shopping,4,2026-06-07T17:27:24,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_004.png,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
抖音,high_payment_shopping,5,2026-06-07T17:27:54,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_005.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
抖音,high_payment_shopping,6,2026-06-07T17:28:43,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_006.png,,2.0,1.0,1.0,0.0,0.0,1.0,0.0
抖音,high_payment_shopping,7,2026-06-07T17:29:18,search_keyword,electronics_high_value,索尼相机,请在搜索框输入“索尼相机”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_007.png,,2.0,1.0,1.0,0.0,0.0,1.0,0.0
抖音,high_payment_shopping,8,2026-06-07T17:29:40,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_008.png,,2.0,1.0,1.0,0.0,0.0,0.0,0.0
抖音,high_payment_shopping,9,2026-06-07T17:30:19,visit_homepage,,,请回到 抖音 首页，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_009.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
抖音,high_payment_shopping,10,2026-06-07T17:31:40,search_keyword,electronics_high_value,平板电脑,请在搜索框输入“平板电脑”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/抖音/high_payment_shopping/20260607_172523/screenshots/step_010.png,,2.0,1.0,1.0,1.0,0.0,1.0,0.0
