app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
BiliBili,bargain_hunter,1,2026-06-07T15:35:26,search_keyword,membership_subscription,自动续费,请在搜索框输入“自动续费”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,2,2026-06-07T15:36:10,search_keyword,knowledge_learning,科普,请在搜索框输入“科普”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_002.png,中途弹出了一个登录,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BiliBili,bargain_hunter,3,2026-06-07T15:37:01,search_keyword,membership_subscription,免广告,请在搜索框输入“免广告”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,4,2026-06-07T15:37:22,visit_homepage,,,请回到 BiliBili 首页，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_004.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,5,2026-06-07T15:37:54,search_keyword,emotion_life,焦虑,请在搜索框输入“焦虑”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_005.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,6,2026-06-07T15:38:25,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BiliBili,bargain_hunter,7,2026-06-07T15:39:06,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_007.png,,2.0,1.0,0.0,0.0,0.0,0.0,1.0
BiliBili,bargain_hunter,8,2026-06-07T15:40:59,search_keyword,game_acg,番剧,请在搜索框输入“番剧”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_008.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,9,2026-06-07T15:41:14,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_009.png,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,10,2026-06-07T15:41:47,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_010.png,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,11,2026-06-07T15:42:13,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_011.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,12,2026-06-07T15:43:09,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_012.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,13,2026-06-07T15:43:36,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_013.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,14,2026-06-07T15:44:22,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,15,2026-06-07T15:44:48,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_015.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,bargain_hunter,16,2026-06-07T15:45:14,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\bargain_hunter\20260607_153501\screenshots\step_016.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
